"","state","region"
"1","AK","West"
"2","AL","South"
"3","AR","South"
"4","AZ","West"
"5","CA","West"
"6","CO","West"
"7","CT","N. East"
"8","DC","N. East"
"9","DE","South"
"10","FL","South"
"11","GA","South"
"12","HI","West"
"13","IA","Midwest"
"14","ID","West"
"15","IL","Midwest"
"16","IN","Midwest"
"17","KS","Midwest"
"18","KY","South"
"19","LA","South"
"20","MA","N. East"
"21","MD","South"
"22","ME","N. East"
"23","MI","Midwest"
"24","MN","Midwest"
"25","MO","Midwest"
"26","MS","South"
"27","MT","West"
"28","NC","South"
"29","ND","Midwest"
"30","NE","Midwest"
"31","NH","N. East"
"32","NJ","N. East"
"33","NM","West"
"34","NV","West"
"35","NY","N. East"
"36","OH","Midwest"
"37","OK","South"
"38","OR","West"
"39","PA","N. East"
"40","RI","N. East"
"41","SC","South"
"42","SD","Midwest"
"43","TN","South"
"44","TX","South"
"45","UT","West"
"46","VA","South"
"47","VT","N. East"
"48","WA","West"
"49","WI","Midwest"
"50","WV","South"
"51","WY","West"
